"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2","1","0.1-0.01nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4","1","0.33 uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1","1","LED","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"J1","1","Conn_01x03","","","","Connector_PinSocket_1.27mm:PinSocket_1x03_P1.27mm_Vertical","~"
"J2,J5","2","Conn_01x02","","","","Connector_PinSocket_1.27mm:PinSocket_1x02_P1.27mm_Vertical","~"
"J6","1","Conn_02x04_Odd_Even","","","","Connector_PinSocket_1.27mm:PinSocket_2x04_P1.27mm_Vertical_SMD","~"
"R1,R2","2","10k(0201)","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3","1","200k(0201)","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5,R6","2","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","1","330","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","1","LM75B","","","","capteurtemp:capteur LM75B","http://www.ti.com/lit/ds/symlink/lm75b.pdf"
"U2","1","TCS3200","","","","TCS3200:SOIC127P600X175-8N",""
"U3","1","L7805","","","","Transistor:L780(","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
